MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO,PRIORIDAD
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000300,CAMISETA MANGA CORTA CUELLO EN V,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000301,BODY MANGA LARGA TELA EN ENCAJE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000302,TOP MANGA SISA CUELLO DRAPEADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000886,CAMISA MANGA LARGA CORAZONES BORDADOS,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE,08-AGOSTO,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000887,CAMISA MANGA 3/4 BOLSILLO CORAZÓN,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
OCTUBRE,08-AGOSTO,038 - 4OCT2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000888,BLUSA MANGA SISA CON CORTES,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
SEPTIEMBRE, ,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000889,BLUSA MANGA SISA CORAZON EN POSTERIOR,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,033 - 3SEP1                                   ,STOP,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,ST0000890,CAMISETA MANGA CORTA ESTAMPADO FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE,08-AGOSTO,033 - 3SEP1                                   ,STOP,003 - OPORTUNIDADES                           ,001 - TEJIDO PUNTO                            ,MS0000891,CAMISETA MANGA CORTA ESTAMPADO FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
SEPTIEMBRE,08-AGOSTO,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000892,CAMISETA MANGA CORTA ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
SEPTIEMBRE,08-AGOSTO,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000893,TOP MANGA CORTA  CON CORTES,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
SEPTIEMBRE, ,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000894,CAMISETA POLO  MANGA CORTA TEJIDA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000895,CAMISETA MANGA CORTA RUEDO EN ENCAJE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000896,BODY MANGA SISA DRAPEADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0000897,TOP STRAPPLE CON HERRAJE CORAZÓN,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE,08-AGOSTO,033 - 3SEP1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000898,TOP MANGA LARGA EN MESH ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000305,VESTIDO MANGA SISA CORTO  ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,004 - ESENCIAL MODA                           ,002 - TEJIDO PLANO                            ,ST0000306,CAMISA MANGA 3/4,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,ST0000307,BODY PREMIUM MANGA SISA DOBLE FAZ,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,MS0000308,CAMISETA PREMIUM MANGA CORTA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000312,LEVANTACOLA TIRO ALTO LAVADO CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000313,TEJANO TIRO ALTO LAVADO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,003 - OPORTUNIDADES                           ,005 - DENIM                                   ,ST0000314,VAQUERO TIRO ALTO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
AGOSTO,07-JULIO,029 - 3AGO1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000359,BLUSA MANGA LARGA CON AMARRE EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
AGOSTO, ,029 - 3AGO1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000831,BLUSA MANGA LARGA CON AMARRE EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
AGOSTO, ,031 - 3AGO3                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000391,PANTALON PALAZZO TIRO ALTO COLOR NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
AGOSTO, ,031 - 3AGO3                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,0000807,BERMUDA TIRO MEDIO LAV OSCURO,,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000317,RETROJEAN TIRO ALTO LAVADO CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000318,SHORT TIRO ALTO LAVADO CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,003 - OPORTUNIDADES                           ,005 - DENIM                                   ,ST0000319,SHORT TIRO ALTO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
OCTUBRE,09-SEPTIEMBRE,038 - 4OCT2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0001050,VAQUERO TIRO ALTO ANIMAL PRINT,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000256,CULOTTE TIRO ALTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,MS0000257,CARGO TIRO ALTO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
OCTUBRE,09-SEPTIEMBRE,037 - 4OCT1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000258,RETROJEAN TIRO ALTO BLANCO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
DICIEMBRE, ,046 - 4DIC2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0005082,FALDA SHORT T/ALTO MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000262,BERMUDA TIRO ALTO MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000264,SHORT TIRO ALTO COLOR BLANCO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000265,FALDA SHORT TIRO ALTO COLOR NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000267,CAMISA MANGA LARGA CON CORTES EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000269,CAMISA MANGA 3/4  CHARRETERA EN HOMBRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000271,BLUSA MANGA SISA CUELLO HALTER,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000273,TOP MANGA LARGA  HERRAJE EN HOMBRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000274,TOP MANGA CORTA CUELLO OJAL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000277,BODY MANGA CORTA RECOGIDO COSTADOS,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000278,BODY MANGA SISA CON HEBILLA EN HOMBRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000280,PANTALON TIRO ALTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,003 - OPORTUNIDADES                           ,001 - TEJIDO PUNTO                            ,ST0000282,CAMISETA MANGA CORTA ESTAMPADO FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,ST0000283,CAMISETA MANGA CORTA ESTAMPADO EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000284,BLUSA MANGA LARGA CUELLO EN V,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000285,CAMISA MANGA 3/4 CON ESCALERILLAS,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0000287,BLUSA MANGA SISA PINZAS EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000289,TOP MANGA LARGA BOLILLO EN CUELLO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000290,CAMISETA MANGA CORTA CON BOLEROS,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0000292,CAMISETA MANGA CORTA GOLAS EN CUELLO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,003 - OPORTUNIDADES                           ,001 - TEJIDO PUNTO                            ,ST0000294,CAMISETA MANGA CORTA ESTAMPADO EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000309,RETROJEAN TIRO ALTO COLOR VINOTINTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE,07-JULIO,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000899,CHAQUETA MANGA LARGA BOMBER,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
OCTUBRE, ,037 - 4OCT1                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,MS0000251,LEVANTACOLA TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000310,RETROJEAN TIRO ALTO COLOR,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,025 - 3JUL1                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,11287813,CAMISETA PREMIUM MS CON ESCOTE IRREGULAR,,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000320,CAMISA MANGA CORTA LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000900,CHALECO MANGA SISA CORTE DIAGONAL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000901,BLUSA MANGA CORTA CUELLO CAMISERO EN V,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000902,CAMISA MANGA CORTA A RAYAS,,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000903,BLUSA TIRAS BAMBI PRINT,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000904,BLUSA MANGA 3/4 CRUZADA FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000905,T-SHIRT  MANGA CORTA ESTAMPADA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,ST0000906,CAMISETA MANGA CORTA ESTAMPADA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0000907,TOP MANGA CORTA RECOGIDO COSTADOS,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,003 - TEJIDO MIXTO                            ,MS0000908,BODY MANGA SISA TIPO CAMISERO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,003 - TEJIDO MIXTO                            ,MS0000909,BLUSA MANGA SISA EN GLOBO,,Normal
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000910,BODY MANGA CORTA CUELLO EN V,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE,08-AGOSTO,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000911,TOP M3/4 CUELLO ASIMETRICO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
SEPTIEMBRE, ,034 - 3SEP2                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,MS0000912,PANTALON TIRO ALTO RECOGIDO EN BOTA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,027 - 3JUL3                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000260,RETROJEAN TIRO ALTO LAV OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,ST0000295,CAMISETA MANGA CORTA CON ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
JULIO, ,026 - 3JUL2                                   ,STOP,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000296,CAMISETA MANGA CORTA CON ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
OCTUBRE, ,040 - 4OCT4                                   ,STOP,009 - CONSCIENTE,005 - DENIM                                   ,MS0001049,BLUSA MANGA SISA TIPO CORSET,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
SEPTIEMBRE, ,035 - 3SEP3                                   ,STOP,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000913,BLUSA MANGA CORTA BOLSILLOS FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
OCTUBRE,07-JULIO,039 - 4OCT3                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,MS0000323,ESCULTOR TIRO ALTO LAV OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
AGOSTO, ,029 - 3AGO1                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,MS0000324,LEVANTACOLA TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
AGOSTO,07-JULIO,030 - 3AGO2                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000325,TEJANO TIRO ALTO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
AGOSTO, ,031 - 3AGO3                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000326,VAQUERO TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Normal
AGOSTO,07-JULIO,030 - 3AGO2                                   ,STOP,008 - MODA                                    ,005 - DENIM                                   ,ST0000327,MOM JEAN TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   ,Prioridad Alta
