MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO
007 - JULIO                                   , ,025 - 3JUL1                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,YY0000733,T-SHIRT  MANGA CORTA OVERSIZED EST,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31898214,CAMISETA MC TP ESCOTE CRUZADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,018 - 2MAY2                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31899714,CAMISETA MC TP RAYAS OVERSIZED,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,018 - 2MAY2                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31900714,CAMISETA MC TP CONTRASTE DE COLOR EN MAN,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               , ,043 - 4NOV3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0004513,RETROMOM TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,017 - 2MAY1                                   ,003 - YOYO                                    ,008 - MODA                                    ,004 - SOBRETODOS                              ,005 - DENIM                                   ,34316201,CHAQUETA M/LARGA TP LAV MEDIO CON LASER,001 - PRODUCCION INTERNA TELA NACIONALIZADA
009 - SEPTIEMBRE                              ,08-AGOSTO,035 - 3SEP3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000278,CARGO TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
009 - SEPTIEMBRE                              , ,035 - 3SEP3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000279,PANTALON CARGO TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
008 - AGOSTO                                  ,07-JULIO,029 - 3AGO1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,002 - TEJIDO PLANO                            ,YY0000270,FALDA SHORT TIRO MEDIO COLOR ARENA,001 - PRODUCCION INTERNA TELA NACIONALIZADA
009 - SEPTIEMBRE                              ,08-AGOSTO,034 - 3SEP2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000272,TEJANO TIRO MEDIO LAV NEGRO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
009 - SEPTIEMBRE                              , ,033 - 3SEP1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000273,MOMJEAN TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,037 - 4OCT1                                   ,003 - YOYO                                    ,008 - MODA                                    ,002 - BLUSA-CAMISA,002 - TEJIDO PLANO                            ,MY0000895,CAMISA MANGA LARGA RAYAS,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,037 - 4OCT1                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,001 - TEJIDO PUNTO                            ,MY0000896,PANTALON MODA TIRO ALTO CON CORDON,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,017 - 2MAY1                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31889714,CAMISETA T-SHIRT MC ESTAMPADA EN FRENTE,
005 - MAYO                                    , ,018 - 2MAY2                                   ,003 - YOYO                                    ,008 - MODA                                    ,004 - SOBRETODOS                              ,002 - TEJIDO PLANO                            ,34317701,CHAQUETA ML TP CIERRE DOBLE CABEZA,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,017 - 2MAY1                                   ,003 - YOYO                                    ,008 - MODA                                    ,004 - SOBRETODOS                              ,001 - TEJIDO PUNTO                            ,34321705,BUZO ML TP CON ESTAMPADO EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               , ,041 - 4NOV1                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,MY0004425,PANTALON TIPO CUERINA TIRO ALTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,040 - 4OCT4                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MY0004479,CAMISETA MANGA CORTA EN CONTRASTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA
008 - AGOSTO                                  ,07-JULIO,031 - 3AGO3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000266,RETROMOM TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
009 - SEPTIEMBRE                              ,08-AGOSTO,035 - 3SEP3                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,YY0000274,MOMJEAN TIRO MEDIO COLOR MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA
009 - SEPTIEMBRE                              ,08-AGOSTO,035 - 3SEP3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000275,RETROMOM TIRO BAJO LAV NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,018 - 2MAY2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30002276,JEAN BLOOM TIRO BAJO TP LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30028249,TEJANO TIRO MEDIO TP LAV NEGRO,
005 - MAYO                                    , ,,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30029249,TEJANO TIRO BAJO TP LAV MEDIO,
009 - SEPTIEMBRE                              ,08-AGOSTO,033 - 3SEP1                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,YY0001080,T-SHIRT MANGA CORTA  OVERSIZED EST   ,001 - PRODUCCION INTERNA TELA NACIONALIZADA
012 - DICIEMBRE                               , ,045 - 4DIC1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0004642,MAXIRETRO TIRO ALTO LAV  MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,018 - 2MAY2                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,30081223,FALDA TIRO MEDIO TP LAV NEGRO CON TABLAS,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,YY0001078,VESTIDO MC TP AJUSTADO ESTAMPADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               , ,041 - 4NOV1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0004443,CARGO TIRO MEDIO LAV  MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
008 - AGOSTO                                  ,07-JULIO,031 - 3AGO3                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,YY0000313,CAMISETA  MANGA LARGA ESCOTE BANDEJA,001 - PRODUCCION INTERNA TELA NACIONALIZADA
008 - AGOSTO                                  ,07-JULIO,031 - 3AGO3                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MY0000314,CAMISETA MANGA CORTA IMITACION DOBLE,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,038 - 4OCT2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000890,RETROMOM TIRO MEDIO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 , ,,003 - YOYO                                    ,008 - MODA                                    ,,005 - DENIM                                   ,35046249,CAMISETA MC TP CON ESTAMPADO ESENCIALES,
005 - MAYO                                    , ,017 - 2MAY1                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,001 - TEJIDO PUNTO                            ,38092717,PANTALON TP CON BOLSILLOS PARCHE EN FREN,001 - PRODUCCION INTERNA TELA NACIONALIZADA
004 - ABRIL                                   , ,013 - 2ABR1                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,001 - TEJIDO PUNTO                            ,38093217,PANTALON TP CON ELASTICO DECORATIVO EN C,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,018 - 2MAY2                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,002 - TEJIDO PLANO                            ,38094717,PANTALON T/ALTO TP CON SESGO DECORATIVO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,38095217,PANTALON T/ALTO TP CON BOLSILLOS EN COST,
011 - NOVIEMBRE                               , ,041 - 4NOV1                                   ,003 - YOYO                                    ,008 - MODA                                    ,016 - TOP -BODY                               ,001 - TEJIDO PUNTO                            ,MY0004418,CAMISETA MANGA CORTA CON CORDON EN FRENT,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,30126234,PANTALON CARGO TIRO MEDIO TP COLOR ARENA,001 - PRODUCCION INTERNA TELA NACIONALIZADA
004 - ABRIL                                   , ,014 - 2ABR2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30166256,RETROMOM TIRO ALTO TP LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
004 - ABRIL                                   , ,014 - 2ABR2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30167256,MAXI RETRO TIRO BAJO TP LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,022 - 2JUN2                                   ,003 - YOYO                                    ,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,YY0001040,CAMISETA MC ESTAMPADO EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA
005 - MAYO                                    , ,017 - 2MAY1                                   ,003 - YOYO                                    ,008 - MODA                                    ,009 - ACCESORIOS                              ,002 - TEJIDO PLANO                            ,YY0001041,PAÑOLETA ESTAMPADA TENN PLUS,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,YY0001042,SHORT TIRO ALTO TP LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               , ,043 - 4NOV3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0004514,TEJANO TIRO ALTO LAV NEGRO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               , ,043 - 4NOV3                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,MY0004515,MOMJEAN TIRO ALTO COLOR MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA
012 - DICIEMBRE                               , ,045 - 4DIC1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0004516,MAXIRETRO TIRO MEDIO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               , ,043 - 4NOV3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MY0004517,SHORT TIRO BAJO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,040 - 4OCT4                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MY0000683,BERMUDA TIRO BAJO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,037 - 4OCT1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MY0000684,FALDA SHORT TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,039 - 4OCT3                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,002 - TEJIDO PLANO                            ,MY0000685,FALDA SHORT TIRO ALTO COLOR MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA
010 - OCTUBRE                                 ,09-SEPTIEMBRE,040 - 4OCT4                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MY0000686,FALDA TIRO BAJO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,042 - 4NOV2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000687,MAXI RETRO TIRO ALTO LAV NEGRO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
012 - DICIEMBRE                               ,09-SEPTIEMBRE,046 - 4DIC2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000688,MAXI RETRO TIRO BAJO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,044 - 4NOV4                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000689,RETROMOM TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,043 - 4NOV3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000690,CARGO TIRO ALTO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,041 - 4NOV1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000691,CARGO TIRO BAJO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
012 - DICIEMBRE                               ,09-SEPTIEMBRE,045 - 4DIC1                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,MY0000692,OVERALL LARGO LAV NEGRO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,043 - 4NOV3                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000693,TEJANO TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,042 - 4NOV2                                   ,003 - YOYO                                    ,003 - OPORTUNIDADES                           ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000694,MOMJEAN TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,044 - 4NOV4                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000695,MOMJEAN TIRO ALTO LAV NEGRO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,041 - 4NOV1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000696,MAXI RETRO TIRO MEDIO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
011 - NOVIEMBRE                               ,09-SEPTIEMBRE,042 - 4NOV2                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000697,BLOOM TIRO MEDIO LAV NEGRO MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
007 - JULIO                                   , ,026 - 3JUL2                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,YY0000260,PANTALON BOTA AMPLIA CON CORTE EN CENTRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
007 - JULIO                                   , ,026 - 3JUL2                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,YY0000261,FALDA TIRO MEDIO CON SHORT INT LAV NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,016 - TOP -BODY                               ,001 - TEJIDO PUNTO                            ,31137215,TOP PREMIUM ML TP ESCOTE SEMICUADRA,001 - PRODUCCION INTERNA TELA NACIONALIZADA
008 - AGOSTO                                  ,07-JULIO,031 - 3AGO3                                   ,003 - YOYO                                    ,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,YY0000268,CARGO TIRO ALTO COLOR MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA
008 - AGOSTO                                  ,07-JULIO,029 - 3AGO1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,YY0000269,SHORT TIRO ALTO LAVADO MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA
009 - SEPTIEMBRE                              ,08-AGOSTO,034 - 3SEP2                                   ,003 - YOYO                                    ,008 - MODA                                    ,016 - TOP -BODY                               ,001 - TEJIDO PUNTO                            ,MY0000782,BODY MANGA LARGA  DOBLE PRENDA,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,016 - TOP -BODY                               ,001 - TEJIDO PUNTO                            ,31116212,TOP PREMIUM TIRAS CON RUEDO EN PUNTA,001 - PRODUCCION INTERNA TELA NACIONALIZADA
006 - JUNIO                                   , ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,016 - TOP -BODY                               ,001 - TEJIDO PUNTO                            ,31117712,TOP PREMIUM TIRAS TP CUELLO HALTER,001 - PRODUCCION INTERNA TELA NACIONALIZADA
